written report . ||| kursen examineras i form av en skriftlig rapport
- explain the geometry of linear programming , ||| - förklara geometriska egenskaper av linjär optimering ,
- dualize optimization problems and use the dual forms to obtain bounds , ||| - duala optimeringsproblem och användning av duala former för att bestämma gränser ,
- work with the scientific literature in the field . ||| - arbeta med den vetenskapliga litteraturen inom området .
lectures and homework assignments . ||| föreläsningar och inlämningsuppgifter .
this course will discuss the theory and application of algorithms for machine learning and inference , from an ai perspective . ||| i kursen diskuteras teori och tillämpning av algoritmer för maskininlärning och slutledning , utifrån ett ai perspektiv .
in this context , we consider as learning to draw conclusions from given data or experience which results in some model that generalises these data . ||| i detta sammanhang betraktar vi lärande som slutledning från givna data eller erfarenheter som resulterar i en viss modell som generaliserar dessa uppgifter .
inference is to compute the desired answers or actions based on the model . ||| slutledning är att bestämma de önskade svaren eller åtgärder baserade på modellen .
algorithms of this kind are commonly used in for example classification tasks ( character recognition , or to predict if a new customer is creditworthy etc. ) and in expert systems ( for example for medical diagnosis ) . ||| algoritmer av detta slag används vanligen i till exempel klassificeringsuppgifter ( teckenigenkänning , eller att förutsäga om en ny kund är kreditvärdig etc. ) och i expertsystem ( till exempel för medicinsk diagnostik ) .
a new and commercially important area of application is data mining , where the algorithms are used to automatically detect interesting information and relations in large commercial or scientific databases . ||| ett nytt och kommersiellt viktig område är data mining , där algoritmer används för att automatiskt identifiera speciellt intressant information och speciella relationer i stora kommersiella eller vetenskapliga databaser .
the course intends to give a good understanding of this crossdisciplinary area , with a sufficient depth to use and evaluate the available methods , and to understand the scientific literature . ||| kursen avser att ge en god förståelse för detta tvärvetenskapliga område , med tillräckligt djup för att använda och utvärdera tillgängliga metoder , och för att kunna följa aktuell vetenskaplig litteratur inom området .
supervised learning : bayes classifier , fisher discriminant , perceptron , support vector machines , regression , boosting ; ||| övervakat lärande : bayes-klassificerare , fisher-diskriminantanalys , perceptron-baserade metoder , support-vektormaskiner , regression , boosting .
unsupervised learning : clustering algorithms , em algorithm , mixture models , kernel methods ; ||| oövervakad inlärning : algoritmer för klustring , em-algoritmen , mixture-modeller , kernel-metoder .
graphical models : hidden markov models , belief propagation . ||| grafiska modeller : dolda markov-modeller , metoder för att propagera antaganden ( belief propagation ) .
apply sound mathematical foundations to the inference of hypotheses from empirical data and models on scientific grounds ; ||| tillämpa sunda matematiska principer för att på vetenskaplig grund dra slutsatser och forma hypoteser från empiriska data och modeller ,
explain a representative set of available machine learning approaches ; ||| förklara en representativ uppsättning av tillgängliga metoder maskininlärning ,
evaluate the methods qualitatively and quantitatively , and to recognize both their strengths and limitations . ||| utvärdera metoderna kvalitativt och kvantitativt , och att identifiera såväl styrka som svagheter .
the course provides advanced techniques in the design and analysis of algorithms . ||| kursen handlar om avancerade metoder för design och analys av algoritmer .
- approximation algorithms and their analysis , approximation schemes , ||| - approximationsalgoritmer och deras analys ,
- use of linear programming , in particular for approximation , ||| - användning av linjär optimering , i synnerhet för approximation ,
- network flow with some complex applications , ||| - nätverksflöde med vissa tillämpningar
- randomized algorithms and their analysis by appropriate random variables , ||| - randomiserade algoritmer och deras analys med hjälp av lämpliga stokastiska variabler ,
- helpful input structures like tree structures and input parameters ||| - snabba algoritmer som använder trädstrukturer och små parametrar
- know in more depth some important design and analysis techniques for algorithms , in particular , ways to approach np-complete problems ||| - ha fördjupade kunskaper om några viktiga konstruktions- och analysmetoder för algoritmer , i synnerhet om metoder för att lösa np-komplexa problem
- to some extent be able to apply such techniques to solve new problems that may arise in various applications ||| - i viss mån kunna tillämpa dessa metoder för att lösa nya problem som kan uppstå i olika tillämpningar
- have some practice in recognizing connections between algorithmic problems and reducing them to each other ||| - kunna upptäcka samband mellan olika algoritmiska problem och reducera ( återföra ) dem till varandra
- be able to explain more complex algorithms and proofs in written form ||| - kunna förklara komplexa algoritmer och bevis i skriftlig form
- know selected topics of current research on algorithms ||| - vara medveten om utvalda ämnen av aktuell forskning i algoritmer
lectures and hand-in exercises . ||| föreläsningar och inlämningsuppgifter .
the course tin092 algorithms or equivalent is required . ||| kurs tin092 algorithms eller motsvarande .
as the course laboration , the students build a complete compiler for a simple imperative language . ||| laborationen i kursen består i att skriva en komplett kompilator för ett litet imperativt språk .
compiler project and oral presentation . ||| programmeringsprojekt och muntlig redovisning .
grading scale f , 3 , 4 , 5 . ||| betygsskala u , 3 , 4 , 5 .
know the basic principles of run-time organization , parameter passing , and memory management , and implement them as a part of the compiler ; ||| känna till grundläggande principer for runtime-miljöer , parameterskickande och minneshantering , och att implementera dessa i en kompilator ;
design and implement compilation schemes that generate intermediate or assembly code from a source program ; ||| designa och implementera kompilatorscheman för att generera intermediärkod eller assembler från ett källprogram ;
design and implement extensions of a simple imperative language , and know the main issues of compiling object-oriented languages . ||| designa och implementera utökningar för ett litet imperativs programmeringsspråk och känna till de viktigaste aspekterna av att kompilera objektorienterade programmeringsspråk .
the teaching consists of lectures and a project , as well as individual supervision in connection with the project . ||| undervisningen består av föreläsningar , ett programmeringsprojekt och individuell handledning i samband med projektet .
the project is the central part ; it involves implementing a complete compiler for a small imperative programming language . ||| projektet är huvuddelen i kursen och består i att implementera en komplett kompilator för ett litet imperativt programmeringsspråk .
the lectures provide knowledge that is needed in the laboration , as well as an overview of the theoretical foundations and possible extensions of the compiler . ||| föreläsningarna ger den kunskap som krävs för att genomföra projektetet , men äver en översikt över de teoretiska grunderna och möjliga utökningar till kompilatorn .
general programming skills ( c , c++ , haskell , or java ) . ||| allmän programmeringskunskap ( c , c++ , haskell , java )
data structures . ||| datastrukturer
formal languages and automata . ||| formella språk and ändliga automater .
the course dat151 programming language technology or equivalent is required . ||| kursen dat151 programming language technology eller någon motsvarande .
formal methods is a generic term for system design , analysis , and implementation methods that are described and used with mathematical rigor . ||| formella metoder är ett samlingsnamn för matematiska metoder inom systemdesign , analys och implementation av datorsystem .
the purpose is to construct , with high confidence , systems that behave according to their specification . ||| syftet är att konstruera system som fungerar i enighet med en given specifikation .
the course introduces practically and theoretically the two most important styles of formal methods for reasoning about software : model checking and deductive verification . ||| den här kursen introducerar , både praktiskt och teoretiskt , de två viktigaste teknikerna inom formella metoder som används för att resonera om mjukvara : modellkontroll ( model checking ) och deduktiv verifikation .
accordingly , we concentrate on the verification of safety properties . ||| därför koncentrerar vi oss i denna kurs på säkerhetsegenskaper .
the lectures cover the following topics : ||| föreläsningarna tar upp följande ämnen :
theoretical foundations of model checking . ||| teoretiska grunder för modellkontroll .
property languages and their usage . ||| språk för att uttrycka systemegenskaper och dessas användning .
performing automated verification with a software model checking tool . ||| användning av ett verktyg för modellkontroll av mjukvarusystem .
for the deductive verification side , we use key , an integrated tool for the formal specification and verification of java programs . ||| för deduktiv verifikation används key , ett verktyg som integrerar formell specifikation och verifikation av javaprogram .
the tool , which is partly developed at chalmers and university of gothenburg , supports formal specification in the java modeling language ( jml ) , and translation from jml into logic . ||| key har delvis utvecklats på chalmers och göteborgs universitet och stödjer formell specifikation i jml ( java modelling language ) samt översättning från jml till logik .
an interactive theorem prover is used to formally verify statements about specifications and programs . ||| en interaktiv teorembevisare används för att formellt verifiera uttryck om specifikationer och program .
the lectures cover the following topics : ||| föreläsningarna tar upp följande ämnen :
java modeling language ( jml ) ||| java modelling language ( jml )
formal semantics of systems ||| formell semantik för system .
predicate logic for specification of java programs ||| predikatlogik för specifikation av javaprogram .
translating jml into dynamic logic ||| översättning från jml till dynamisk logik .
verifying proof obligations ||| verifikation av beviskrav .
judge the potential and limitations of using logic based verification methods for assessing and improving software correctness , ||| bedöma potential och begränsningar hos logikbaserade verifikationstekniker för att bedöma och förbättra mjukvarukvalitet .
judge what can and what can not be expressed by certain specification/modelling formalisms , ||| avgöra vad som kan och inte kan uttryckas i en given formalism för specifikation eller modellering .
judge what can and can not be analysed with certain logics and proof methods , ||| avgöra vad som kan och inte kan analyseras med en given logik och bevismetod .
express safety properties of ( concurrent ) programs in a formal way , ||| formellt uttrycka säkerhetsegenskaper hos ( parallella ) program .
describe the basics of verifying safety properties via model checking , ||| beskriva grunderna i verifikation av säkerhetsegenskaper med hjälp av modellkontroll ( model checking ) .
use tools which integrate and automate the model checking of safety properties , ||| använda verktyg som integrerar och automatiserar modellkontroll av säkerhetsegenskaper .
write formal specifications of object-oriented system units , using the concepts of method contracts and class invariants , ||| skriva formella specifikationer för enheter i objekt-orienterade program med hjälp av kontrakt och klassinvarianter .
describe how the connection between programs and formal specifications can be represented in a program logic , ||| beskriva hur relationen mellan program och formell specifikation kan representeras i en programlogik .
verify functional properties of simple java programs with a verification tool , ||| verifiera funktionella egenskaper hos enkla javaprogram med ett verifikationsverktyg .
acknowledge the socio-economical costs caused by faulty software , ||| känna till de socio-ekonomiska konsekvenserna av felaktig mjukvara .
judge and communicate the significance of correctness for software development , ||| bedöma och kommunicera betydelsen och vikten av korrekthet i mjukvaruutveckling .
approach the issue of correctly functioning software by means of abstraction , modeling , and rigorous reasoning . ||| lösa problem relaterade till utveckling av välfungerande mjukvara genom abstraktion , modellering och rigorösa resonemang .
there are two lectures each week , introducing formal methods in general , and the technical and theoretical concepts behind the presented methods and tools . ||| kursen omfattar två föreläsningar per vecka , vilka introducerar formella metoder generellt samt de bakomliggande tekniska och teoretiska begreppen för metoder och verktyg .
some lectures contain hands-on exercises . ||| vissa föreläsningar innefattar även övningar .
the students perform practical case studies using the tools in lab assignments . ||| studenterna genomför praktiska övningar med verktygen som labuppgifter .
there is one exercise class per week . ||| kursen omfattar utöver föreläsningarna även ett praktiskt övningstillfälle per vecka .
additionally , study of concurrency control methods without locking . ||| feltolerans och återställning : metoder för checkpointing , optimistisk och pessimistisk återställning .
resource allocation . ||| resursallokering .
distributed algorithms : how to design and analyze distributed algorithms ? ||| distribuerade algoritmer : design och analys av distribuerade algoritmer .
sensor networks and energy efficient distributed designs . ||| sensornätverk och energieffektiva distribuerade lösningar .
denial of service attacks . ||| denial of service attacker .
get a good understanding on the advances in technologies , system architectures and communication architectures that propelled the growth of distributed computing systems . ||| få en god förståelse om de framsteg i teknologi , system- och kommunikationsarkitektur som har drivit på användningen av distribuerade system .
understand and appreciate the challenges and opportunities faced by distributed systems , and sensor networks application designers . ||| redogöra för och förklara de utmaningar och möjligheter som applikationsutvecklare ställs inför vid utveckling av ett distribuerat system eller sensornätverk .
design , program and evaluate representative distributed systems and applications . ||| designa , implementera och utvärdera distribuerade system och applikationer .
the aim of the course is to explore the powerful mechanisms that functional programming languages offer to solve real problems and structure larger programs . ||| kursens mål är att utforska de kraftfulla mekanismer som funktionella programspråk erbjuder när det gäller att lösa verkliga problem och strukturera större program .
the focus lies on library design and the concept of embedded languages . ||| fokus ligger på design av programbibliotek och inbäddade språk .
the big advantage with functional languages is that language constructions can be given names and thereby reused , using higher order functions . ||| en stor fördel med funktionella programspråk är att de flesta språkkonstruktionerna kan namnges och därmed återanvändas som högre ordningens funktioner .
functional programs can therefore often be constructed by composing constructions from a library . ||| funktionella program kan därför ofta konstrueras genom att kombinera konstruktioner från ett funktionsbibliotek .
this method enables a way to construct programs quickly and with a high degree of correctness . ||| den här metoden gör det möjligt att snabbt konstruera program med en hög grad av korrekthet .
this is the central idea in this course . ||| detta är den centrala idén i kursen .
we can learn a lot from studying the standard library of list functions such as map , fold and so on . ||| vi kan lära oss en hel del genom att studera standardbibliotekens list-funktioner som map , fold osv .
these functions can be generalised to operate on other datatypes . ||| dessa funktioner kan generaliseras så att de fungerar för andra datatyper .
realistic functional programs must also handle changes in state , exceptions , backtracking and other " non-functional " behaviours . ||| realistiska funktionella program måste också hantera tillståndsförändringar , avbrott , " backtracking " och andra " icke-funktionella " beteenden .
we will look at how these can be modelled in a purely functional manner . ||| vi kommer att jobba med hur dessa kan modelleras rent funktionellt .
the concept of " monads " will help us here . ||| det matematiska begreppet " monad " hjälper oss med detta .
armed with this knowledge we will construct domain specific libraries , designed to construct programs in a certain application domain . ||| med hjälp av dessa kunskaper kommer vi att konstruera domänspecifika programbibliotek ämnade att lösa problem inom ett ett visst tillämpningsområde .
this type of library can be said to define a domain specific language , since the constructions the programmer uses to construct larger programs mainly consists of library functions . ||| den här sortens bibliotek kan sägas definiera ett domänspecifikt språk eftersom konstruktionerna som programmeraren använder huvudsakligen består av biblioteksfunktioner .
we will study libraries for parsing , pretty printing , graphics , pseudo-parallel programming and interaction . ||| vi kommer att studera bibliotek för inläsning ( parsning ) , utskrift ( pretty printing ) , grafik , webbprogrammering och interaktion .
the course will also present some recent research which can make the contents of the course vary to some degree . ||| kursen kommer också att presentera en del aktuell forskning vilket kan göra att innehållet varierar en del mellan åren .
the programming language used in the course is haskell . ||| kursen använder sig huvudsakligen av programmeringsspråket haskell .
design embedded domain specific languages ( edsls ) ||| designa inbäddade domänspecifika språk ( edsl )
explain and exemplify ( abstract ) syntax , semantics ||| förklara och ge exempel på ( abstrakt ) syntax , semantik , etc.
implement edsls in haskell ( as combinator libraries ) ||| implementera edsl i haskell ( som kombinatorbibliotek )
read , understand and extend haskell programs which use advanced type system features ||| läsa , förstå och utöka haskellprogram som använder sig av avancerade typsystemegenskaper :
type classes ||| typklasser
( generalized ) algebraic datatypes ||| ( generaliserade ) algebraiska datatyper
functors , monads and monad transformers ||| funktorer , monader och monadtransformerare
use specification based development techniques ||| använda specifikationsbaserade utvecklingstekniker
formulate and test properties about the program ||| formulera och testa egenskaper som programmet ska uppfylla
reason about correctness of functional programs ||| resonera om funktionella programs korrekthet
transform programs on the basis of such reasoning ||| transformera program baserat på sådana resonemang
explain and discuss the above topics ||| förklara och diskutera de ämnen som beskrivs ovan
there are 2 two-hour lectures every week . ||| det är två 2-timmars förelåsningar varje vecka .
lots of help is provided . ||| mycket hjälp erbjuds också .
to be eligible for the course , students should have successfully completed two years of an education aimed at a degree within computer science or equivalent . ||| för att vara behöriga för kursen skall studenterna ha klarat av två år av en utbildning på väg mot en högskoleexamen inom datateknik eller motsvarande .
the courses tda452 functional programming , tmv210 introduction to discrete mathematics and at least one of the courses dat151 programming language technology or dat121 programming paradigms or equivalent are required . ||| mer specifikt krävs kurserna tda452 funktionell programmering , tmv210 introduktion till diskret matematik och minst en av kurserna dat151 programming language technology eller dat121 programming paradigms eller motsvarande .
notions : abstract syntax tree , semantics , interpreter , compiler . ||| koncept : abstrakt syntaxträd , semantik , interpretator , kompilator .
algorithms , complexity , divide-and-conquer . ||| algoritm , komplexitet , " divide-and-conquer " .
induction proofs and simple logic , equality reasoning . ||| induktionsbevis , logik , likhetsbevis ( equality reasoning ) .
it is recommended , but not required , to read the following courses beforehand : algorithms and ( `` logic in computer science '' or `` finite automata theory and formal languages '' ) . ||| det är rekommenderat , men inte ett krav , att läsa följande kurser i förväg : algorithms och ( " logic in computer science " eller " finite automata theory and formal languages " ) .
the course aims to provide an overview of cryptographic concepts , primitives , protocols and applications . ||| kursens syfte är att ge en översikt över kryptografiska begrepp , primitiver , protokoll och applikationer .
basic goals of cryptography ( confidentiality , authentication , non-repudiation ) . ||| kursen innehåller grundläggande begrepp inom kryptografi ( sekretess , autentisering , oavvislighet ) .
symmetric key cryptography : block and stream ciphers , design principles and examples , modes of operation , message authentication codes . ||| kryptering med symmetrisk nyckel : block- och strömchiffer , konstruktionsprinciper , exempel , och meddelandeautentiseringskoder .
public key cryptography : asymmetric ciphers , signatures . ||| kryptering med öppen nyckel : asymmetriska chiffer , signaturer .
attack models and security notions . ||| attackmodeller och säkerhetskoncept .
protocols for key management , authentication and other services . ||| protokoll för nyckelhantering , autentisering och andra tjänster .
summarize the main goals of cryptography and illustrate this with a number of examples of how cryptographic services are integrated in current applications , both in software and hardware ||| sammanfatta de viktigaste målen för kryptografi och illustrera dessa med ett antal exempel på hur kryptografiska tjänster är integrerade i aktuella tillämpningar , både i mjukvara och hårdvara
describe goals and design principles for and common structures of secret key primitives such as block and stream ciphers and message authentication codes ||| beskriva mål , konstruktionsprinciper och gemensamma strukturer för att skapa hemliga nycklar , t.ex. block- och ström-chiffer och meddelandeautentiseringskoder .
identify , analyse and explain various forms of attacks based on improper usage of primitives , modes or protocols ||| identifiera , analysera och förklara olika former av attacker som baserats på felaktig användning av primitiver , tillstånd eller protokoll .
explain how basic public key primitives can be defined based on the difficulty of mathematical problems such as the discrete logarithm problem or factoring and analyse variants of these systems ||| förklara hur grundläggande primitiver för öppna nyckar kan definieras utifrån svårlösliga matematiska problem som t.ex. diskreta logaritmer eller faktorisering , samt analysera varianter av dessa system .
explain the various roles of hash functions as parts of other cryptographic primitives and protocols and the requirements this places on hash functions ||| förklara hashfunktioners olika användningsområden i andra kryptografiska primitiver och protokoll , samt de krav detta ställer på hashfunktioner .
exemplify when various notions of security , such as information - theoretic , computational , provable and practical security , are applicable and describe the security guarantees provided ||| exemplifiera när olika säkerhetskoncept , såsom informationsteoretiska , beräkningsbara , bevisbara och praktisk säkerhet , är tillämpliga samt beskriva de säkerhetsgarantier som de erbjuder .
explain basic key management techniques in both secret key and public key cryptography ||| förklara grundläggande tekniker för kryptering med såväl hemlig som öppen nyckel .
data structures . ||| för att kunna följa kursen krävs kunskaper om datastrukturer och diskret matematik , motsvarande inledande kurser i ämnena samt programmeringskunskaper ( exempelvis c , java eller haskell ) .
the course aims to provide an overview of cryptographic concepts , primitives , protocols and applications . ||| kursens syfte är att ge en översikt över kryptografiska begrepp , primitiver , protokoll och applikationer .
basic goals of cryptography ( confidentiality , authentication , non-repudiation ) . ||| kursen innehåller grundläggande begrepp inom kryptografi ( sekretess , autentisering , oavvislighet ) .
symmetric key cryptography : block and stream ciphers , design principles and examples , modes of operation , message authentication codes . ||| kryptering med symmetrisk nyckel : block- och strömchiffer , konstruktionsprinciper , exempel , och meddelandeautentiseringskoder .
public key cryptography : asymmetric ciphers , signatures . ||| kryptering med öppen nyckel : asymmetriska chiffer , signaturer .
attack models and security notions . ||| attackmodeller och säkerhetskoncept .
protocols for key management , authentication and other services . ||| protokoll för nyckelhantering , autentisering och andra tjänster .
summarize the main goals of cryptography and illustrate this with a number of examples of how cryptographic services are integrated in current applications , both in software and hardware ||| sammanfatta de viktigaste målen för kryptografi och illustrera dessa med ett antal exempel på hur kryptografiska tjänster är integrerade i aktuella tillämpningar , både i mjukvara och hårdvara
describe goals and design principles for and common structures of secret key primitives such as block and stream ciphers and message authentication codes ||| beskriva mål , konstruktionsprinciper och gemensamma strukturer för att skapa hemliga nycklar , t.ex. block- och ström-chiffer och meddelandeautentiseringskoder .
identify , analyse and explain various forms of attacks based on improper usage of primitives , modes or protocols ||| identifiera , analysera och förklara olika former av attacker som baserats på felaktig användning av primitiver , tillstånd eller protokoll .
explain how basic public key primitives can be defined based on the difficulty of mathematical problems such as the discrete logarithm problem or factoring and analyse variants of these systems ||| förklara hur grundläggande primitiver för öppna nyckar kan definieras utifrån svårlösliga matematiska problem som t.ex. diskreta logaritmer eller faktorisering , samt analysera varianter av dessa system .
explain the various roles of hash functions as parts of other cryptographic primitives and protocols and the requirements this places on hash functions ||| förklara hashfunktioners olika användningsområden i andra kryptografiska primitiver och protokoll , samt de krav detta ställer på hashfunktioner .
exemplify when various notions of security , such as information - theoretic , computational , provable and practical security , are applicable and describe the security guarantees provided ||| exemplifiera när olika säkerhetskoncept , såsom informationsteoretiska , beräkningsbara , bevisbara och praktisk säkerhet , är tillämpliga samt beskriva de säkerhetsgarantier som de erbjuder .
explain basic key management techniques in both secret key and public key cryptography ||| förklara grundläggande tekniker för kryptering med såväl hemlig som öppen nyckel .
data structures . ||| för att kunna följa kursen krävs kunskaper om datastrukturer och diskret matematik , motsvarande inledande kurser i ämnena samt programmeringskunskaper ( exempelvis c , java eller haskell ) .
the course provides knowledge of the principles used to create images through computer algorithms . ||| kursen är en grundkurs i ämnet datorgrafik och ger kunskap om de algoritmer , tekniker och principer som används för att skapa datorgenererde bilder .
the primary focus is on real-time rendering and photo realistic rendering . ||| primärt fokus ligger på realtidsrendering samt fotorealistisk rendering .
the course is organized into lectures and exercises . ||| kursen är organiserad i föreläsningar och övningar .
no strict requirements . however , the lectures and tutorials assume the student has ||| inga strikta krav , men nivån på föreläsningar och laborationer utgår från att eleven har
1) knowledge corresponding to a course in algorithms and data structures , ||| 1) kunskaper motsvarande en kurs i algoritmer och datastrukturer ,
2) programming skills in an imperative high-level language ( e.g. , c , c++ or java ) , and ||| 2) färdigheter i programmering i ett imperativt högnivåspråk ( t ex c , c++ eller java ) , samt
3) some understanding of vector analysis in three dimensions ( the dot product , cross product , and matrix multiplication ) . ||| 3) viss förståelse av vektoranalys i tre dimensioner ( dotprodukt , kryssprodukt , matrismultiplikation ) .
typically , the student has successfully completed an education comparable with a bachelor degree within computer science or equivalent . ||| den typiska studenten har en avslutad utbildning motsvarande kandidatexamen i computer science eller liknande .
the project course is designed to give knowledge and experience in professional development of software . ||| projektkursen avser att ge kunskap om och övning i professionell utveckling av mjukvara .
the course aims to : ||| kursen syftar till att :
* give knowledge about , and practice in , methodology in technical development projects , in particular software projects . ||| * ge kunskaper om , och träning i , arbetsmetodik i tekniska utvecklingsprojekt , speciellt mjukvaruprojekt .
* give experience of all phases of development ; including problem identification , problem formulation , information retrieval , usage analysis , system analysis , debriefing , evaluation etc. ||| * ge erfarenhet av alla faser i ett utvecklingsarbete ; bl.a. problemidentifiering , problemformulering , informationssökning , användaranalys , systemanalys , avrapportering , utvärdering etc.
* train problem solving skills . ||| * träna problemlösningsförmågan .
* train the ability for cooperation and communication . ||| * träna samarbets- och kommunikationsförmågan .
the course presents a simple test driven , object oriented process . ||| kursen presenterar en enkel , testdriven , objektorienterad process .
concepts as ; iterative development , object oriented analysis and design , domain - and designmodel , " domain driven design " are introduced . ||| begrepp som iterativ utveckling , objektorienterad analys och design , domän- och designmodell , " domain driven design " introduceras .
aspects of design are discussed : testability , dependencies , partitioning , layering and more . ||| olika aspekter på design gås igenom : testbarhet , beroenden , partitionering , skiktning , m.fl.
the examination consists of the oral presentation and the delivering och the source code and other artifacts . ||| examination sker genom muntlig presentation av projektet samt inlämning av källkod och övriga artifakter .
grade f , 3 , 4 , 5 . ||| betygsskala u , 3 , 4 , 5 .
- document the project in the form of a basic requirement specification and basic design documents ||| - dokumentera arbetet i ett sådant projekt i form av t.ex. en grundläggande kravspecifikation och ett enklare designdokument .
a few lectures , one obligatory seminar and a few workshops . ||| ett mindre antal föreläsningar , ett obligatoriskt seminarium och några " workshops " .
the project includes weekly obligatory supervisor meetings . ||| i projektet ingår obligatoriska veckovisa handledarmöten och en muntlig slutpresentation .
concurrent programming plays a vital role in systems where many events appear to occur simultaneously . ||| parallell programmering spelar en viktig roll i system där många händelser sker till synes samtidigt .
general concepts : parallelism , interference , synchronization , critical regions , mutual exclusion , deadlock , fairness , livelock . ||| allmänna begrepp : parallellism , interferens , synkronisering , kritiska regioner , ömsesidig uteslutning , " deadlock " , rättvisa , " livelock " .
synchronization using shared variables ; busy waiting . ||| synkronisering med hjälp av delade variabler ; " busy waiting " .
semaphores . ||| semaforer .
monitors . ||| monitorer .
synchronous message passing : extended rendezvous . ||| synkron meddelandeskickning : utökade rendezvous .
asynchronous message passing : erlang . ||| asynkron meddelandeskickning : erlang .
asynchronous coordination : linda . ||| asynkron koordinering : linda .
the grade for the course is then determined by considering the overall performance in the labs and the exam combined . ||| betyget på kursen bestäms sedan genom att betrakta övergripande resultat i labben och tentan tillsammans .
- demonstrate the critical knowledge of the issues and problems that arise in shared-memory and message-passing concurrent systems ||| - förstå frågor och problem som uppstår i parallella system med delat minne och meddelandeskickning
- identify concurrent ( synchronization ) problems , for example shared update , dining philosophers , producer-consumer , resource allocation , time-outs ||| - identifiera ( synkroniserings ) problem i parallella system som t.ex. shared update , dining philosophers , producer-consumer , resource allocation , time-outs
- adapt common patterns for solving those problems , for example locks , client-server , pipelines , replicated workers , barrier synchronization , passing the baton , alarms ||| - anpassa gemensamma mönster för att lösa dessa problem som t.ex. locks , client-server , pipelines , replicated workers , barrier synchronization , passing the baton , alarms
- design and argue for the correctness , clarity , and efficiency of solutions ||| - skapa lösningar och argumentera för deras korrekthet , tydlighet och effektivitet
- apply practical knowledge of the programming constructs and techniques offered by modern concurrent programming languages ||| - tillämpa praktiska kunskaper i programmerings konstruktioner och tekniker som finns tillgängliga i moderna parallella programmeringsspråk
- implement such solutions in expressive programming languages ||| - implementera sådana lösningar i uttrycksfulla programspråk
solid background in programming . ||| grundläggande programmeringskunskaper .
standard algorithms on these structures . ||| standardalgoritmer på dessa datastrukturer och deras resurskrav .
standard algorithms libraries . ||| standardbibliotek för datastrukturer och algoritmer .
laborations and written exam . ||| skriftlig examen och laborationer .
- make motivated choices between different data structures for different applications . ||| - kunna uppskatta resurskrav för olika implementationer av datatyper och därmed göra motiverade val mellan tillgängliga alternativ .
lectures , exercise classes , and laborations . ||| föreläsningar , övningar och laborationer .
this course introduces a functional programming language and related concept to students that already have some knowledge in programming . ||| den här kursen introducerar ett funktionellt programmeringsspråk och relaterade koncept för studenter som redan har en del kunskap inom programmering .
the primary goal is to enable students to write realistic ( small - to medium-size ) programs , while introducing some of the fundamental concepts of computer science . ||| det främsta målet är att göra det möjligt för studenterna att skriva realistiska ( små till mellanstora ) program , och att samtidigt introducera några grundläggande koncept inom datavetenskap .
in this course the student will learn about functional programming through the haskell programming language . ||| i den här kurser kommer studenten att lära sig om funktionell programmering genom programmeringsspråket haskell .
concrete topics encountered in the course include : ||| exempel på ämnen som bemöts i kursen är :
- functions as first-class values ||| - funktioner som förstaklass-värden
- algebraic and abstract data types ||| - algebraiska och abstrakta datatyper
- polymorphism and classes ||| - polymorfism och klasser
- testing functional programs ||| - testning av funktionella program
- lazy evaluations and infinite objects ||| - lat evaluering och oändliga objekt
- monads ||| - monader
written exam and compulsory laboratory exercises . ||| skriftlig examination och obligatoriska labbar .
- write small to medium-sized functional programs for a variety of applications ; ||| - skriva små till mellanstora funktionella program inom olika tillämpningar ,
- exploit a variety of programming techniques typical in functional programming , such as : ||| - utnyttja olika programmeringstekniker som är vanliga inom funktionell programmering såsom :
use of recursion , modelling with recursive datatypes , abstraction and reuse with the help of higher order functions and monads ; ||| användandet av rekursion , modellering med rekursiva datatyper , abstraktion och kodåteranvändning med hjälp av högre ordningens funktioner och monader ,
- appreciate the strengths and possible weaknesses of the functional programming paradigm . ||| - värdera styrkorna och möjliga svagheter inom det funktionella programmeringsparadigmet .
previous programming experience and basic knowledge of data structures and algorithms are also assumed . ||| kursen förutsätter tidigare programmeringserfarenhet och grundläggande kunskaper om datastrukturer och algoritmer .
reading research articles is valuable training for scientists and researchers . ||| att läsa vetenskapliga artiklar är värdefull utbildning för alla vetenskapsmän och forskare .
these demonstrate how to present ideas and methods , and how to critically evaluate them . ||| i denna kurs används därför forskningsartiklar som viktigaste referensmaterial , framför allt för att visa hur man presenterar idéer och metoder , och hur man kritiskt värdera dem .
the course is examined by individual programming assignments , written assignments and oral presentations . ||| kursen examineras genom individuella inlämningsuppgifter inom programmering , skriftliga inlämningsuppgifter och muntliga presentationer .
knowledge and understanding ||| kunskap och förståelse
describe bioinformatics problems and computational approaches to solving them . ||| beskriva bioinformatikproblem och beräkningsmetoder för att lösa dem
skills and abilities ||| färdighet och förmåga
implement computational solutions to problems in bioinformatics . ||| implementera beräkningsproblemlösningar inom bioinformatik
judgement and approach ||| värderingsförmåga och förhållningssätt
summarise problems and methods described in research articles ||| sammanfatta problem och bioinformatikmetoder beskrivna inom forskningslitteraturen
critically discuss different methods that address the same task ||| kritiskt diskutera olika bioinformatiska metoder som behandlar samma uppgift
identify situations where methods can be applied across different application areas ||| identifiera situationer där bioinformatiska metoder kan tillämpas inom olika områden
furthermore , the student should have successfully completed a course in programming and in discrete mathematics . ||| det krävs också en programmeringskurs och en kurs i diskret matematik .
today the object-oriented view has a very strong position in the area of program development . ||| det objektorienterade synsättet har idag en mycket stark ställning när det gäller programutveckling .
